;USD-EUR;USD-GBP;USD-CHF;EUR-USD;EUR-GBP;EUR-CHF;GBP-USD;GBP-EUR;GBP-CHF;CHF-USD;CHF-EUR;CHF-GBP;USD-PLN;EUR-PLN;GBP-PLN;CHF-PLN
1999-01-04;0.8482483671;0.6031894139;1.37144796;1.1789;0.7111;1.6168;1.657854029;1.406271973;2.2736605259;0.7291563582;0.6185056903;0.4398193963;3.4533887522;4.0712;5.7252144565;2.5180603662
1999-01-05;0.8481764207;0.6040712468;1.3675148431;1.179;0.7122;1.6123;1.6554338669;1.4040999719;2.2638303847;0.7312534888;0.6202319668;0.4417292067;3.4134860051;4.0245;5.650800337;2.4961235502
1999-01-06;0.8515711488;0.6025717449;1.3723920634;1.1743;0.7076;1.6116;1.65955342;1.4132278123;2.2775579423;0.728654753;0.6205013651;0.4390667659;3.4118198075;4.0065;5.6620972301;2.4860387193
1999-01-07;0.8596973865;0.6068174003;1.3897008253;1.1632;0.70585;1.6165;1.6479421974;1.4167316002;2.2901466317;0.7195793381;0.6186204763;0.4366532632;3.452974553;4.0165;5.6903024722;2.4846891432
1999-01-08;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-09;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-10;0.8577064928;0.608456986;1.3841667381;1.1659;0.7094;1.6138;1.6435015506;1.4096419509;2.2748801804;0.7224563143;0.6196554716;0.4395835915;3.461960717;4.0363;5.6897378066;2.5011153798
1999-01-11;0.8643789437;0.608868528;1.391995851;1.1569;0.7044;1.6104;1.6423906871;1.4196479273;2.2862010221;0.7183929459;0.6209637357;0.4374068554;3.4851759011;4.032;5.7240204429;2.5037257824
1999-01-12;0.8680555556;0.6133680556;1.3951388889;1.152;0.7066;1.6072;1.6303424851;1.4152278517;2.2745542032;0.7167745147;0.6222000996;0.4396465903;3.5008680556;4.033;5.7076139258;2.5093330015
1999-01-13;0.8514986376;0.6032016349;1.3565224796;1.1744;0.7084;1.5931;1.6578204404;1.4116318464;2.2488706945;0.7371790848;0.6277069864;0.4446676292;3.5791042234;4.2033;5.93351214;2.6384407758
